title,authors,where_published,DOI,provenance,source_wg_report,study_specific_inclusion_notes,year,duplicate_group,duplicate_of_or_relation,relevance_tier,prior_wg_status,publication_type,numpages,assignment_scope,catalogue_status,catalogue_entry_id,catalogue_file,exclusion_reason
Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses,"Duong, Ta Nguyen Binh; Meng, Chai Yi",2024 IEEE Global Engineering Education Conference (EDUCON),10.1109/educon60312.2024.10578839,the-rest-of-the-robots-github/output/other_relevance_to_wg.csv / other row 176,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: In the context of computer science and software engineering courses where the enrolment has been increasing recently, manual grading of short-answer questions is a time-consuming and tedious process for instructors.",2024,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: other; classifier=RELEVANT,,,Yes,loaded,assessment:se-short-answer-llm-grading,site/public/data/assessments/assessment-se-short-answer-llm-grading.json,
Automatically Generating CS Learning Materials with Large Language Models,"MacNeil, Stephen; Tran, Andrew; Leinonen, Juho; Denny, Paul; Kim, Joanne; Hellas, Arto; Bernstein, Seth; Sarsa, Sami",Proceedings of the 54th ACM Technical Symposium on Computer Science Education V. 2,10.1145/3545947.3569630,the-rest-of-the-robots-github/output/other_relevance_to_wg.csv / other row 25,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: Within computer science education, researchers are exploring the potential for LLMs to generate code explanations and programming assignments using carefully crafted prompts.",2023,DG031,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,1-direct implemented/proposed course or assignment change,2025 WG dataset: other; classifier=RELEVANT,,,Yes,,,,Duplicate or related occurrence; canonical occurrence retained
Automatically Generating CS Learning Materials with Large Language Models,"MacNeil, Stephen; Tran, Andrew; Leinonen, Juho; Denny, Paul; Kim, Joanne; Hellas, Arto; Bernstein, Seth; Sarsa, Sami",Proceedings of the 54th ACM Technical Symposium on Computer Science Education V. 2,10.1145/3545947.3569630,the-robots-are-here.pdf + the-robots-are-here.html / References [138],The Robots Are Here (ITiCSE 2023 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: Within computer science education, researchers are exploring the potential for LLMs to generate code explanations and programming assignments using carefully crafted prompts.",2023,DG031,same work as canonical occurrence in DG031; preserved for distinct provenance,1-direct implemented/proposed course or assignment change,2023 WG report reference,,,Yes,,,,Duplicate or related occurrence; canonical occurrence retained
Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation,"Phung, Tung; Padurean, Victor-Alexandru; Singh, Anjali; Brooks, Christopher; Cambronero, José; Gulwani, Sumit; Singla, Adish; Soares, Gustavo",Proceedings of the 14th Learning Analytics and Knowledge Conference,10.1145/3636555.3636846,the-rest-of-the-robots-github/output/other_relevance_to_wg.csv / other row 26,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: Generative AI and large language models hold great promise in enhancing programming education by automatically generating individualized feedback for students.",2024,,,3-assignment feedback/support or student use,2025 WG dataset: other; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
Automating Personalized Parsons Problems with Customized Contexts and Concepts,"del Carpio Gutierrez, Andre; Denny, Paul; Luxton-Reilly, Andrew",Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1,10.1145/3649217.3653568,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 33,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: In this paper, we introduce PuzzleMakerPy, an educational tool that uses an LLM to generate unlimited contextualized drag-and-drop programming exercises in the form of Parsons Problems, which introductory programmers can use as a supplemental learning resource.",2024,,,3-assignment feedback/support or student use,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:personalized-parsons-problems,site/public/data/assessments/assessment-personalized-parsons-problems.json,
"Beyond the Hype: A Comprehensive Review of Current Trends in Generative AI Research, Teaching Practices, and Tools","Prather, James; Leinonen, Juho; Kiesler, Natalie; Gorson Benario, Jamie; Lau, Sam; MacNeil, Stephen; Norouzi, Narges; Opel, Simone; Pettit, Vee; Porter, Leo; Reeves, Brent N.; Savelka, Jaromir; Smith, David H.; Strickroth, Sven; Zingaro, Daniel",2024 Working Group Reports on Innovation and Technology in Computer Science Education,10.1145/3689187.3709614,the-rest-of-the-robots-github/output/other_relevance_to_wg.csv / other row 135,The Rest of the Robots (ITiCSE 2025 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: These tools can write and explain code, enhance error messages, create resources for instructors, and even provide feedback and help for students like a traditional teaching assistant.",2025,DG111,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,2-authentic assignment/assessment evidence,2025 WG dataset: other; classifier=RELEVANT,,,Yes,,,,Duplicate or related occurrence; canonical occurrence retained
"Beyond the Hype: A Comprehensive Review of Current Trends in Generative AI Research, Teaching Practices, and Tools","Prather, James; Leinonen, Juho; Kiesler, Natalie; Gorson Benario, Jamie; Lau, Sam; MacNeil, Stephen; Norouzi, Narges; Opel, Simone; Pettit, Vee; Porter, Leo; Reeves, Brent N.; Savelka, Jaromir; Smith, David H.; Strickroth, Sven; Zingaro, Daniel",2024 Working Group Reports on Innovation and Technology in Computer Science Education,10.1145/3689187.3709614,the-rest-of-the-robots.pdf + the-rest-of-the-robots.html / References [95],The Rest of the Robots (ITiCSE 2025 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: These tools can write and explain code, enhance error messages, create resources for instructors, and even provide feedback and help for students like a traditional teaching assistant.",2025,DG111,same work as canonical occurrence in DG111; preserved for distinct provenance,2-authentic assignment/assessment evidence,2025 WG report reference,,,Yes,,,,Duplicate or related occurrence; canonical occurrence retained
Beyond Traditional Teaching: Large Language Models as Simulated Teaching Assistants in Computer Science,"Liu, Mengqi; M'Hiri, Faten",Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,10.1145/3626252.3630789,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 2,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: The objective is to enhance the accessibility of CS education while maintaining academic integrity by refraining from providing direct solutions to current-semester assignments.",2024,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
Bob or Bot: Exploring ChatGPT's Answers to University Computer Science Assessment,"Richards, Mike; Waugh, Kevin; Slaymaker, Mark; Petre, Marian; Woodthorpe, John; Gooch, Daniel",ACM Trans. Comput. Educ.,10.1145/3633287,the-rest-of-the-robots-github/output/other_relevance_to_wg.csv / other row 20,The Rest of the Robots (ITiCSE 2025 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: Cheating has been a long-standing issue in university assessments.",2024,,,2-authentic assignment/assessment evidence,2025 WG dataset: other; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
BoilerTAI: A Platform for Enhancing Instruction Using Generative AI in Educational Forums,"Sinha, Anvit; Goyal, Shruti; Sy, Zachary; Kuperus, Rhianna; Dickey, Ethan; Bejarano, Andres",2024 IEEE Frontiers in Education Conference (FIE),10.1109/fie61694.2024.10893137,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 193,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: Our analysis includes a qualitative examination of feedback and interactions, focusing on the AI-TAs' experiences and perceptions.",2024,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
Bridging Learnersourcing and AI: Exploring the Dynamics of Student-AI Collaborative Feedback Generation,"Singh, Anjali and Brooks, Christopher and Wang, Xu and Li, Warren and Kim, Juho and Wilson, Deepti",Proceedings of the 14th Learning Analytics and Knowledge Conference,10.1145/3636555.3636853,beyond-the-hype.pdf + beyond-the-hype.html / References [136],Beyond the Hype (ITiCSE 2024 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: This paper explores the space of optimizing feedback mechanisms in complex domains such as data science, by combining two prevailing approaches: Artificial Intelligence (AI) and learnersourcing.",2024,,,3-assignment feedback/support or student use,2024 WG report reference,,,Yes,loaded,assessment:collaborative-hint-revision,site/public/data/assessments/assessment-collaborative-hint-revision.json,
BugSpotter: Automated Generation of Code Debugging Exercises,"Pădurean, Victor-Alexandru; Denny, Paul; Singla, Adish",Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,10.1145/3641554.3701974,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 148,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: We deployed BugSpotter in a large classroom setting and compared the debugging exercises it generated to exercises hand-crafted by an instructor for the same problems.",2025,,,3-assignment feedback/support or student use,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
CAET: Code Analysis and Education Tutor,"Glynn, Colin; Hed, Emily; Pexa, Abbigail; Pohlmann, Tyler; Rahal, Imad; Hesse, Robert",Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 2,10.1145/3626253.3635543,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 18,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: With students now having access to a myriad of GAI tools, academia has been permanently altered.Our proposed system, named Code Analysis and Education Tutor (CAET), integrates GAI into early Computer Science education by providing students with an ethical alternative to existing GAI tools.",2024,,,3-assignment feedback/support or student use,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science?,"Liu, Suqing; Yu, Zezhu; Huang, Feiran; Bulbulia, Yousef; Bergen, Andreas; Liut, Michael",Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1,10.1145/3649217.3653554,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 3,The Rest of the Robots (ITiCSE 2025 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: We compare one SLM (neural-chat-7b-v3 - fine-tuned version of Mistral-7B-v0.1) against two popular LLMs (gpt-3.5-turbo and gpt-4-32k) to see the viability for computing educators to use in their course(s).We use conversations from a CS1 course (N = 1,260), providing students with an AI Assistant (using gpt-3.5-turbo) to help them learn content and support pr",2024,,,2-authentic assignment/assessment evidence,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:cs1-ai-assistant-python-homework,site/public/data/assessments/assessment-cs1-ai-assistant-python-homework.json,
Can Students without Prior Knowledge Use ChatGPT to Answer Test Questions? An Empirical Study,"Shoufan, Abdulhadi",ACM Trans. Comput. Educ.,10.1145/3628162,beyond-the-hype.pdf + beyond-the-hype.html / References [134],Beyond the Hype (ITiCSE 2024 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: To properly evaluate its impact on education, it is crucial to understand how far it can help students without prior knowledge answer assessment questions.",2023,DG066,same work as canonical occurrence in DG066; preserved for distinct provenance,2-authentic assignment/assessment evidence,2024 WG report reference,,,Yes,,,,Duplicate or related occurrence; canonical occurrence retained
Can Students without Prior Knowledge Use ChatGPT to Answer Test Questions? An Empirical Study,"Shoufan, Abdulhadi",ACM Trans. Comput. Educ.,10.1145/3628162,beyond-the-hype.zip::Extraction Sheet Responses.xlsx / Form Responses 1 row 49,Beyond the Hype (ITiCSE 2024 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: To properly evaluate its impact on education, it is crucial to understand how far it can help students without prior knowledge answer assessment questions.",2023,DG066,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,2-authentic assignment/assessment evidence,2024 WG extraction: Yes,,,Yes,,,,Duplicate or related occurrence; canonical occurrence retained
Can You Spot the AI? Incorporating GenAI into Technical Writing Assignments,"Rajabi, Parsa; Kerslake, Chris",Proceedings of the 26th Western Canadian Conference on Computing Education,10.1145/3660650.3660673,the-rest-of-the-robots-github/output/not_relevant_for_wg.csv / not-relevant row 129,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: In an effort to foster critical reflection on the usage of generative AI (genAI) during computer science writing assignments, this three-part assignment challenges students to predict whether their peers can detect which essays are generated using AI.",2024,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: not-relevant; classifier=RELEVANT,,,Yes,loaded,assessment:spot-the-ai-writing,site/public/data/assessments/assessment-spot-the-ai-writing.json,
Case Study: Using Artificial Intelligence as a Tutor for a Programming Course,"Timcenko, Olga",2024 21st International Conference on Information Technology Based Higher Education and Training (ITHET),10.1109/ithet61869.2024.10837624,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 171,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: This paper presents a case study where second-semester Media Technology students used GitHub Copilot as a coding tutor throughout their coursework and for a three-day Game-jam, during which they developed 2D mobile games as part of their final exam.",2024,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:copilot-game-jam-final;assessment:copilot-programming-homework,site/public/data/assessments/assessment-copilot-game-jam-final.json;site/public/data/assessments/assessment-copilot-programming-homework.json,
Challenging the Confirmation Bias: Using ChatGPT as a Virtual Peer for Peer Instruction in Computer Programming Education,"Dos Santos, Otávio Lube; Cury, Davidson",2023 IEEE Frontiers in Education Conference (FIE),10.1109/fie58773.2023.10343247,beyond-the-hype.pdf + beyond-the-hype.html / References [123],Beyond the Hype (ITiCSE 2024 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: The authors argue that AI tools, including ChatGPT, can bring benefits such as personalized learning, instant feedback, and active engagement to the classroom.",2023,DG009,same work as canonical occurrence in DG009; preserved for distinct provenance,3-assignment feedback/support or student use,2024 WG report reference,,,Yes,loaded,assessment:chatgpt-virtual-peer-programming,site/public/data/assessments/assessment-chatgpt-virtual-peer-programming.json,
Challenging the Confirmation Bias: Using ChatGPT as a Virtual Peer for Peer Instruction in Computer Programming Education,"Dos Santos, Otávio Lube; Cury, Davidson",2023 IEEE Frontiers in Education Conference (FIE),10.1109/fie58773.2023.10343247,beyond-the-hype.zip::Extraction Sheet Responses.xlsx / Form Responses 1 row 51,Beyond the Hype (ITiCSE 2024 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: The authors argue that AI tools, including ChatGPT, can bring benefits such as personalized learning, instant feedback, and active engagement to the classroom.",2023,DG009,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,3-assignment feedback/support or student use,2024 WG extraction: Yes,,,Yes,loaded,assessment:chatgpt-virtual-peer-programming,site/public/data/assessments/assessment-chatgpt-virtual-peer-programming.json,
Challenging the Confirmation Bias: Using ChatGPT as a Virtual Peer for Peer Instruction in Computer Programming Education,"Dos Santos, Otávio Lube; Cury, Davidson",2023 IEEE Frontiers in Education Conference (FIE),10.1109/fie58773.2023.10343247,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 197,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: The authors argue that AI tools, including ChatGPT, can bring benefits such as personalized learning, instant feedback, and active engagement to the classroom.",2023,DG009,same work as canonical occurrence in DG009; preserved for distinct provenance,3-assignment feedback/support or student use,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:chatgpt-virtual-peer-programming,site/public/data/assessments/assessment-chatgpt-virtual-peer-programming.json,
Chat Overflow: Artificially Intelligent Models for Computing Education - renAIssance or apocAIypse?,"Denny, Paul; Becker, Brett A.; Leinonen, Juho; Prather, James",Proceedings of the 2023 Conference on Innovation and Technology in Computer Science Education V. 1,10.1145/3587102.3588773,the-robots-are-here.pdf + the-robots-are-here.html / References [68],The Robots Are Here (ITiCSE 2023 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: For example, novices learning to code can now use free tools that automatically suggest solutions to programming exercises and assignments; yet these tools were not designed with novices in mind and little to nothing is known about how they will impact learning.",2023,,,1-direct implemented/proposed course or assignment change,2023 WG report reference,,,Yes,,,,Did not meet the review's eligibility criteria
ChatGPT and Cheat Detection in CS1 Using a Program Autograding System,"Pang, Ashley; Vahid, Frank",Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1,10.1145/3649217.3653558,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 57,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: We found ChatGPT was proficient at generating correct programs from a mere copy-paste of the English programming assignment specifications.",2024,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:cs1-chatgpt-detection-assignment-set,site/public/data/assessments/assessment-cs1-chatgpt-detection-assignment-set.json,
ChatGPT as a Game-Changer for Embedding Emojis in Faculty Feedback,"Kupershtein, Ethan; Kumar, Yulia; Manikandan, Anjana; Morreale, Patricia; Li, J. Jenny","2023 Congress in Computer Science, Computer Engineering, & Applied Computing (CSCE)",10.1109/csce60160.2023.00173,beyond-the-hype.zip::Extraction Sheet Responses.xlsx / Form Responses 1 row 53,Beyond the Hype (ITiCSE 2024 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: This study explores the potential of integrating emojis, and digital pictographs, into faculty feedback to augment student learning outcomes.",2023,,,1-direct implemented/proposed course or assignment change,2024 WG extraction: No intervention,,,Yes,,,,Did not meet the review's eligibility criteria
"ChatGPT as a Programming Tutor: Student Perceptions, Effectiveness, and Challenges","Bhatt, Vishwa; Yu, Zhixin; Hou, Yunfei; Jin, Jennifer",2025 IEEE Global Engineering Education Conference (EDUCON),10.1109/educon62633.2025.11016463,the-rest-of-the-robots-github/output/subject_vibes_upper_computing.csv / upper row 108,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: The results show that ChatGPT offers considerable assistance to students, especially in providing prompt feedback, facilitating debugging, and clarifying complex programming concepts.",2025,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: upper,,,Yes,,,,Did not meet the review's eligibility criteria
ChatGPT for Teaching and Learning: An Experience from Data Science Education,"Zheng, Yong",Proceedings of the 24th Annual Conference on Information Technology Education,10.1145/3585059.3611431,the-rest-of-the-robots-github/output/subject_vibes_upper_computing.csv / upper row 47,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: This paper aims to bridge that gap by utilizing ChatGPT in a data science course, gathering perspectives from students, and presenting our experiences and feedback on using ChatGPT for teaching and learning in data science education.",2023,DG038,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,3-assignment feedback/support or student use,2025 WG dataset: upper,,,Yes,loaded,assessment:data-science-chatgpt-practice-scenarios,site/public/data/assessments/assessment-data-science-chatgpt-practice-scenarios.json,
ChatGPT for Teaching and Learning: An Experience from Data Science Education,"Zheng, Yong",Proceedings of the 24th Annual Conference on Information Technology Education,10.1145/3585059.3611431,the-rest-of-the-robots.pdf + the-rest-of-the-robots.html / References [129],The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: This paper aims to bridge that gap by utilizing ChatGPT in a data science course, gathering perspectives from students, and presenting our experiences and feedback on using ChatGPT for teaching and learning in data science education.",2023,DG038,same work as canonical occurrence in DG038; preserved for distinct provenance,3-assignment feedback/support or student use,2025 WG report reference,,,Yes,loaded,assessment:data-science-chatgpt-practice-scenarios,site/public/data/assessments/assessment-data-science-chatgpt-practice-scenarios.json,
ChatGPT in Computer Science Curriculum Assessment: An analysis of Its Successes and Shortcomings,"Qureshi, Basit","Proceedings of the 2023 9th International Conference on E-Society, e-Learning and e-Technologies",10.1145/3613944.3613946,beyond-the-hype.pdf + beyond-the-hype.html / References [115],Beyond the Hype (ITiCSE 2024 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: This paper addresses the prospects and obstacles associated with utilizing ChatGPT as a tool for learning and assessment in undergraduate Computer Science curriculum in particular to teaching and learning fundamental programming courses.",2023,DG049,same work as canonical occurrence in DG049; preserved for distinct provenance,1-direct implemented/proposed course or assignment change,2024 WG report reference,,,Yes,loaded,assessment:data-structures-chatgpt-programming-challenge,site/public/data/assessments/assessment-data-structures-chatgpt-programming-challenge.json,
ChatGPT in Computer Science Curriculum Assessment: An analysis of Its Successes and Shortcomings,"Qureshi, Basit","Proceedings of the 2023 9th International Conference on E-Society, e-Learning and e-Technologies",10.1145/3613944.3613946,beyond-the-hype.zip::Extraction Sheet Responses.xlsx / Form Responses 1 row 56,Beyond the Hype (ITiCSE 2024 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: This paper addresses the prospects and obstacles associated with utilizing ChatGPT as a tool for learning and assessment in undergraduate Computer Science curriculum in particular to teaching and learning fundamental programming courses.",2023,DG049,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,1-direct implemented/proposed course or assignment change,2024 WG extraction: Yes,,,Yes,loaded,assessment:data-structures-chatgpt-programming-challenge,site/public/data/assessments/assessment-data-structures-chatgpt-programming-challenge.json,
ChatGPT in Computer Science Curriculum Assessment: An analysis of Its Successes and Shortcomings,"Qureshi, Basit","Proceedings of the 2023 9th International Conference on E-Society, e-Learning and e-Technologies",10.1145/3613944.3613946,the-rest-of-the-robots-github/output/other_relevance_to_wg.csv / other row 18,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: This paper addresses the prospects and obstacles associated with utilizing ChatGPT as a tool for learning and assessment in undergraduate Computer Science curriculum in particular to teaching and learning fundamental programming courses.",2023,DG049,same work as canonical occurrence in DG049; preserved for distinct provenance,1-direct implemented/proposed course or assignment change,2025 WG dataset: other; classifier=RELEVANT,,,Yes,loaded,assessment:data-structures-chatgpt-programming-challenge,site/public/data/assessments/assessment-data-structures-chatgpt-programming-challenge.json,
"ChatGPT in Computer Science Education: Exploring Benefits, Challenges, and Ethical Considerations",Lina Kloub; Aayush Gupta,ASEE North East Section Proceedings,10.18260/1-2--45758,beyond-the-hype.zip::Extraction Sheet Responses.xlsx / Form Responses 1 row 59,Beyond the Hype (ITiCSE 2024 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: In summary, the results provide substantial support for Hypothesis 1, suggesting that ChatGPT is indeed perceived and utilized by computer science students as a valuable supplementary learning tool, aiding in the understanding of complex concepts, contributes positively to students’ readiness for assessments, and serves as a valuable resource for students se",2024,,,1-direct implemented/proposed course or assignment change,2024 WG extraction: No intervention,,,Yes,,,,Full text unavailable for eligibility screening
ChatGPT in Data Visualization Education: A Student Perspective,"Kim, Nam Wook; Ko, Hyung-Kwon; Myers, Grace; Bach, Benjamin",2024 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),10.1109/vl/hcc60511.2024.00022,the-rest-of-the-robots.pdf + the-rest-of-the-robots.html / References [56],The Rest of the Robots (ITiCSE 2025 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: We collected conversation logs and reflection surveys after each assignment and conducted interviews with selected students to gain deeper insights into their experiences with ChatGPT.",2024,,,2-authentic assignment/assessment evidence,2025 WG report reference,,,Yes,loaded,assessment:data-visualization-d3-dashboard;assessment:data-visualization-design-redesign;assessment:data-visualization-driven-article;assessment:data-visualization-tableau-exposition,site/public/data/assessments/assessment-data-visualization-d3-dashboard.json;site/public/data/assessments/assessment-data-visualization-design-redesign.json;site/public/data/assessments/assessment-data-visualization-driven-article.json;site/public/data/assessments/assessment-data-visualization-tableau-exposition.json,
ChatGPT in the Classroom. Exploring Its Potential and Limitations in a Functional Programming Course,"Popovici, Matei-Dan",International Journal of Human–Computer Interaction,10.1080/10447318.2023.2269006,beyond-the-hype.zip::Extraction Sheet Responses.xlsx / Form Responses 1 row 61,Beyond the Hype (ITiCSE 2024 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: On the other hand, ChatGPT has a very good ability to perform code review on student programming homework.",2023,,,2-authentic assignment/assessment evidence,2024 WG extraction: No intervention,,,Yes,loaded,assessment:functional-programming-lab-corpus,site/public/data/assessments/assessment-functional-programming-lab-corpus.json,
ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions,"Joshi, Ishika; Budhiraja, Ritvik; Dev, Harshal; Kadia, Jahnvi; Ataullah, Mohammad Osama; Mitra, Sayan; Akolekar, Harshal D.; Kumar, Dhruv",Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,10.1145/3626252.3630803,beyond-the-hype.zip::Extraction Sheet Responses.xlsx / Form Responses 1 row 60,Beyond the Hype (ITiCSE 2024 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: ChatGPT's usage in tasks such as solving assignments and exams has the potential to undermine students' learning outcomes and compromise academic integrity.",2024,DG053,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,1-direct implemented/proposed course or assignment change,2024 WG extraction: No intervention,,,Yes,loaded,assessment:undergraduate-cs-question-corpus,site/public/data/assessments/assessment-undergraduate-cs-question-corpus.json,
ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions,"Joshi, Ishika; Budhiraja, Ritvik; Dev, Harshal; Kadia, Jahnvi; Ataullah, Mohammad Osama; Mitra, Sayan; Akolekar, Harshal D.; Kumar, Dhruv",Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,10.1145/3626252.3630803,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 6,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: ChatGPT's usage in tasks such as solving assignments and exams has the potential to undermine students' learning outcomes and compromise academic integrity.",2024,DG053,same work as canonical occurrence in DG053; preserved for distinct provenance,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:undergraduate-cs-question-corpus,site/public/data/assessments/assessment-undergraduate-cs-question-corpus.json,
